memberID,Date,itemName,quantity,price
1808,21-07-2015,tropical fruit,30,4298
2552,05-01-2015,whole milk,3,6214
2300,19-09-2015,pip fruit,29,9893
1187,12-12-2015,other vegetables,23,7663
3037,01-02-2015,whole milk,13,2052
4941,14-02-2015,rolls/buns,23,8418
4501,08-05-2015,other vegetables,20,2575
3803,23-12-2015,pot plants,13,3236
2762,20-03-2015,whole milk,19,9434
4119,12-02-2015,tropical fruit,17,6188
1340,24-02-2015,citrus fruit,21,6588
2193,14-04-2015,beef,30,6547
1997,21-07-2015,frankfurter,17,8879
4546,03-09-2015,chicken,21,3934
4736,21-07-2015,butter,1,9462
1959,30-03-2015,fruit/vegetable juice,24,3367
1974,03-05-2015,packaged fruit/vegetables,18,9099
2421,02-09-2015,chocolate,15,2194
1513,03-08-2015,specialty bar,24,7991
1905,07-07-2015,other vegetables,22,8415
2810,08-09-2015,butter milk,27,5926
2867,12-11-2015,whole milk,2,8595
3962,18-09-2015,tropical fruit,13,4726
1088,30-11-2015,tropical fruit,28,7685
4976,17-07-2015,bottled water,30,8411
4056,12-06-2015,yogurt,4,5573
3611,13-02-2015,sausage,12,1924
1420,14-01-2015,other vegetables,6,4715
4286,08-03-2015,brown bread,27,4523
4918,27-01-2015,yogurt,27,1760
4783,22-10-2015,hamburger meat,17,1633
3709,26-10-2015,root vegetables,14,5187
,08-10-2015,pork,14,2941
,03-10-2015,beef,14,4628
,11-04-2015,pastry,26,2875
,21-02-2015,fruit/vegetable juice,23,5202
,29-09-2015,canned beer,16,8887
1495,09-01-2015,root vegetables,22,3818
3558,03-04-2015,citrus fruit,17,2309
3128,20-04-2015,sausage,23,8850
1863,04-08-2015,tropical fruit,11,1505
3841,19-07-2015,berries,13,5908
3903,06-10-2015,canned beer,9,2443
2658,16-10-2015,butter milk,5,2745
4272,06-06-2015,coffee,27,6202
1120,26-09-2015,pastry,18,7824
2676,15-08-2015,rolls/buns,15,2761
1697,21-05-2015,misc. beverages,26,7673
2507,25-08-2015,root vegetables,5,2234
4620,11-03-2015,sausage,13,5139
3365,01-02-2015,canned beer,22,4751
2978,05-06-2015,ham,22,2696
2910,28-07-2015,turkey,23,8228
1061,05-09-2015,whole milk,19,6092
3276,03-04-2015,whole milk,20,6038
1326,19-06-2015,packaged fruit/vegetables,29,9667
3023,28-07-2015,rolls/buns,9,2059
2185,11-10-2015,ham,23,4316
3552,16-06-2015,rolls/buns,27,4307
1967,20-01-2015,other vegetables,15,6497
4708,20-03-2015,sausage,13,8833
2874,15-02-2015,sausage,22,4075
4177,13-04-2015,frankfurter,18,8357
1663,07-02-2015,rolls/buns,28,2762
2632,02-03-2015,whole milk,27,2833
1377,14-03-2015,curd cheese,30,6585
4162,22-12-2015,red/blush wine,22,4006
2270,01-07-2015,sausage,14,2788
4829,03-11-2015,tropical fruit,29,4557
3811,14-04-2015,red/blush wine,14,9446
4766,29-09-2015,whole milk,7,1650
2436,12-04-2015,frankfurter,30,2741
3860,05-05-2015,whole milk,27,4983
4875,12-05-2015,frozen potato products,11,7683
1587,01-07-2015,other vegetables,2,3010
4038,08-07-2015,citrus fruit,30,4474
4750,21-09-2015,flour,20,6345
1199,10-12-2015,sugar,17,3480
1603,30-09-2015,frozen meals,15,4145
3111,31-01-2015,chocolate,14,2425
3894,13-12-2015,root vegetables,11,7164
1456,18-09-2015,root vegetables,28,4813
2022,04-03-2015,herbs,3,5435
2505,30-11-2015,bottled water,9,2240
4851,20-12-2015,sausage,29,6782
4293,04-08-2015,coffee,30,5935
