itemID,itemName,itemGroup,stock,price
P001,tropical fruit,fruit,1314,4298
P002,whole milk,drink,556,6214
P003,pip fruit,fruit,2183,9893
P004,carrot,vegetable,2012,7663
P005,rolls/buns,food,650,2052
P006,chili,vegetable,1118,8418
P007,citrus fruit,fruit,1145,2575
P008,beef,meat,330,3236
P009,frankfurter,meat,1255,9434
P010,chicken,meat,1984,6188
P011,butter,food,1612,6588
P012,fruit/vegetable juice,drink,2483,6547
P013,packaged fruit/vegetables,fruit,1581,8879
P014,chocolate,food,1310,3934
P015,noodles,food,861,9462
P016,oatmilk,drink,1456,3367
P017,bottled water,drink,1258,9099
P018,yogurt,food,2140,2194
P019,sausage,meat,1255,7991
P020,brown bread,food,2469,8415
P021,hamburger meat,meat,1517,5926
P022,root vegetables,vegetable,2453,8595
P023,pork,meat,720,4726
P024,pastry,food,362,7685
P025,canned beer,drink,1825,8411
P026,berries,fruit,443,5573
P027,coffee,drink,1196,1924
P028,misc. beverages,drink,2974,4715
P029,ham,meat,371,4523
P030,turkey,meat,2808,1760
P031,curd cheese,food,2132,1633
P032,red/blush wine,drink,2500,5187
P033,frozen potato products,food,2999,2941
P034,flour,food,711,4628
P035,sugar,food,971,2875
P036,frozen meals,food,2072,5202
P037,herbs,food,1967,8887
P038,soda,drink,1827,3818
P039,detergent,others,823,2309
P040,grapes,fruit,2009,8850
P041,processed cheese,food,2523,1505
P042,tuna,meat,2295,5908
P043,sparkling wine,drink,2941,2443
P044,newspapers,others,959,2745
P045,curd,food,608,6202
P046,pasta,food,2890,7824
P047,popcorn,food,2850,2761
P048,towel,others,1556,7673
P049,sparkling soda,drink,2654,2234
P050,bottled beer,drink,1036,5139
P051,dessert,food,719,4751
P052,dog food,others,1131,2696
P053,specialty chocolate,food,1901,8228
P054,condensed milk,drink,2220,6092
P055,cleaner,others,344,6038
P056,white wine,drink,781,9667
P057,salmon,meat,692,2059
P058,ice cream,food,2210,4316
P059,hard cheese,food,1473,4307
P060,cream cheese,food,2465,6497
P061,liquor,drink,555,8833
P062,pickled vegetables,vegetable,2921,4075
P063,almond milk,drink,769,8357
P064,UHT-milk,drink,2565,2762
P065,candy,food,1084,2833
P066,onions,food,2362,6585
P067,hair spray,others,1997,4006
P068,photo/film,others,1818,2788
P069,domestic eggs,food,643,4557
P070,margarine,food,1964,9446
P071,shopping bags,others,1503,1650
P072,salt,food,665,2741
P073,oil,food,1227,4983
P074,whipped/sour cream,food,2987,7683
P075,frozen vegetables,vegetable,1122,3010
P076,sliced cheese,food,565,4474
P077,dish cleaner,others,2403,6345
P078,baking powder,food,1219,3480
P079,cheedar cheese,food,2161,4145
P080,salty snack,food,2002,2425
P081,chocochip,food,975,7164
P082,pet care,others,816,4813
P083,white bread,food,2120,5435
P084,female sanitary products,others,450,2240
P085,cling film/bags,others,1892,6782
P086,soap,others,2515,5935
P087,frozen chicken,meat,1861,5157
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
2970,,,4,9808
2013,,,19,2509
3967,,,1,9172
2885,,,13,4955
3935,,,29,8294
3283,,,4,8464
3268,,,13,7622
3677,,,5,7022
3495,,,7,7400
1410,,,15,8878
2440,,,13,3273
4088,,,19,8814
2469,,,19,3586
4229,,,20,4932
2728,,,14,7672
4694,,,3,9415
2836,,,19,3975
1311,,,8,7762
1760,,,3,3653
3656,,,20,7513
3720,,,13,6352
2996,,,6,3522
1949,,,21,5480
4498,,,29,6427
2447,,,4,3742
1952,,,21,3086
4099,,,8,4906
1804,,,2,9613
1510,,,26,2859
2879,,,22,3193
4899,,,28,1943
4326,,,9,9996
1670,,,7,2757
1117,,,9,2650
1346,,,6,3729
1178,,,18,4986
1649,,,4,8442
4651,,,9,1960
4243,,,11,7169
4429,,,26,3171
4645,,,7,3442
4019,,,5,8936
4459,,,15,8369
3006,,,4,7064
1834,,,15,4372
3236,,,4,9033
1765,,,1,4273
3855,,,5,7836
4392,,,15,2431
3330,,,4,2741
1723,,,10,7423
4110,,,14,2291
2600,,,7,2496
2946,,,29,2442
2426,,,7,2800
4170,,,26,7241
,,,20,3993
,,,24,6142
,,,19,3910
,,,16,2191
,,,7,6149
,,,8,8992
,,,11,3929
,,,12,9102
3939,,,27,2860
1367,,,11,7397
1043,,,26,1587
2231,,,26,4563
3235,,,14,3525
4554,,,20,9428
3245,,,16,7817
2996,,,18,1562
2507,,,22,9963
4186,,,9,8539
3929,,,26,2666
3760,,,1,3959
4928,,,19,4299
4217,,,21,2919
1174,,,4,8507
4103,,,25,7015
4408,,,17,9661
2588,,,18,8025
2598,,,25,1687
1518,,,14,6733
2702,,,1,4899
1001,,,15,6006
2270,,,19,8983
2838,,,25,7335
1683,,,6,2704
4040,,,7,4940
3897,,,6,4932
2200,,,15,8035
4073,,,30,7995
3700,,,10,9827
3973,,,22,6068
2715,,,13,9278
3967,,,10,2277
4002,,,11,2868
2962,,,8,4884
4340,,,22,9304
2092,,,29,2840
3143,,,27,6575
2209,,,21,7487
2816,,,1,2350
2659,,,1,5603
1588,,,6,2176
1144,,,28,2875
2166,,,7,3886
3300,,,21,2289
3944,,,26,2712
4979,,,8,9532
2630,,,2,5625
4240,,,9,8208
2357,,,13,5588
1743,,,23,5177
2331,,,26,5073
1643,,,7,4878
1291,,,9,6637
3675,,,6,1924
4134,,,7,2595
1363,,,1,2588
4212,,,26,4533
1500,,,23,4919
2622,,,17,5943
3543,,,22,7525
2525,,,8,6123
1264,,,8,9048
3601,,,30,7268
1771,,,27,7120
4694,,,26,9390
1122,,,11,6849
3507,,,14,9050
4524,,,5,9519
3612,,,12,3932
3262,,,7,8889
1897,,,22,5348
1656,,,3,3182
3953,,,1,1872
1488,,,8,9566
1652,,,25,2585
4953,,,18,1572
3445,,,16,3691
3180,,,21,6624
4934,,,16,9466
2980,,,1,9132
2763,,,28,4431
4819,,,22,6479
3169,,,15,8323
1850,,,15,3875
